state,population_2011,note
andaman-&-nicobar-islands,380581,
andhra-pradesh,49577103,Residual after 2014 Telangana bifurcation (84580777 - 35003674)
arunachal-pradesh,1383727,
assam,31205576,
bihar,104099452,
chandigarh,1055450,
chhattisgarh,25545198,
dadra-&-nagar-haveli-&-daman-&-diu,586956,Merged UT 2020 (343709 + 243247)
delhi,16787941,
goa,1458545,
gujarat,60439692,
haryana,25351462,
himachal-pradesh,6864602,
jammu-&-kashmir,12267013,Residual after 2019 Ladakh separation (12541302 - 274289)
jharkhand,32988134,
karnataka,61095297,
kerala,33406061,
ladakh,274289,Leh 133487 + Kargil 140802; UT created 2019
lakshadweep,64473,
madhya-pradesh,72626809,
maharashtra,112374333,
manipur,2855794,
meghalaya,2966889,
mizoram,1097206,
nagaland,1978502,
odisha,41974218,Listed as Orissa in Census 2011
puducherry,1247953,
punjab,27743338,
rajasthan,68548437,
sikkim,610577,
tamil-nadu,72147030,
telangana,35003674,State created 2014
tripura,3673917,
uttar-pradesh,199812341,
uttarakhand,10086292,
west-bengal,91276115,
